P45985	Q14315
P23769	P29590
P15927	P40763
P84077	Q9NZ52
P61204	P53365
P61204	P53367
P05067	Q92624
P51693	O75553
Q99967	P05549
Q09472	P05549
P04114	P55157
P32121	Q12967
P07333	P62993
P48634	P62993
P02730	Q9BWU0
P20749	Q99728
P08588	O14908
P38398	P18846
P38398	P43246
P38398	Q99728
P38398	P52701
O00192	P55291
P49810	P07384
P20807	Q8WZ42
Q14643	P35219
Q96QZ7	P35222
P06400	P39880
Q99816	P38936
P33992	P49736
O00311	P49736
Q13416	P49736
Q9UBU7	P49736
O43823	P49736
P27694	P49736
O43913	P49736
P25205	P49736
Q15642	P60953
Q16667	P24941
Q99708	P28749
Q00610	O14964
P17936	P02452
P10599	P02452
P15336	P84022
P15336	Q13485
P30281	Q9UBQ5
Q15311	P14635
P41240	P08069
P07585	P00533
Q14190	P27540
P81133	P27540
Q99075	Q05516
P12004	P24522
Q09472	P18146
Q92793	P18146
Q14980	P11171
P19174	P68104
Q86UP2	P29692
P35968	P08758
Q86YN6	P03372
P51532	P03372
Q8TDD1	P03372
P03372	Q5QJE6
P11362	P14324
P63165	P25445
P21333	P05556
P18507	O95166
P11168	P52292
P14672	Q9UER7
Q13002	O00560
Q13002	Q9NRD5
P39086	Q9NRD5
P39086	O00560
O60563	P28799
P49795	P19086
P49795	P09471
P49795	P08754
Q03933	P63279
P53667	Q02297
P21781	P98160
Q8IZH2	P46379
P42858	Q9BYW2
P54257	P42858
P42858	Q8IUH5
Q15642	P42858
Q14814	P27348
P15923	Q02535
P08069	P35568
P62258	P08069
Q05397	P35568
P45983	P35568
P06213	P35568
P01583	Q99608
O60674	O14744
O60674	O15524
P05783	O75190
P02545	P20700
P02545	P36956
P02545	Q9UHQ1
P55196	P11274
Q7Z465	P10415
Q12982	P10415
Q16637	P10415
Q13625	P10415
Q9NQC3	P10415
P10415	Q14457
P19838	P12980
Q86WV1	P08575
P09917	Q14019
P15498	P12956
Q15080	P12956
P13010	P12956
P49959	P12956
P45973	P12956
Q8N2W9	Q9UJU2
O75030	Q9UJU2
P67809	Q13242
Q6VMQ6	Q9UIS9
Q13111	Q9UIS9
O75030	Q9Y6X2
O75030	Q9HBE1
O75030	P63279
P39687	P46821
P33993	P06400
P33993	Q9UBU7
P33993	O00311
P33993	Q9UBD5
Q03164	Q9UNP9
Q03164	O75807
P55196	P47736
P55196	Q15223
P55196	P07737
P20929	Q86TC9
P08138	P22694
Q9Y6H5	P37840
Q9H4G0	Q14980
P41279	P19838
Q04206	Q9Y6X2
Q04206	Q96BH1
Q04206	Q8WUF5
P09651	P39748
P46087	Q96EZ8
P14921	Q9UER7
Q9UIW2	P31749
P31751	Q9UKG1
P15036	Q15131
Q9UPX8	Q14247
Q14247	O43516
P07333	O15524
Q13573	P12755
Q92990	P08581
Q9UGL1	P55316
P15498	Q15910
Q04864	P60510
P41143	Q5JY77
O00159	P22681
P52306	P61586
Q02548	Q04727
Q9UGL1	P55771
Q92569	P42336
Q15036	P16109
P98161	Q13563
Q13563	P48995
P22459	Q12959
O60921	P12004
P23467	Q5TCQ9
P10644	P31321
P31321	Q92667
P16591	P82094
P28482	P51955
Q5JVS0	P63244
Q92636	P63244
P10275	P63244
P05107	P63244
O15530	Q05513
Q8IX03	Q05513
Q09472	O75444
Q9Y5K6	P20338
Q15276	P20339
Q8TB24	P61020
O43924	P62834
P52306	P62834
O15211	P61224
P51587	Q06609
Q06609	Q96B01
Q14565	Q06609
O60381	P06400
P06400	Q12931
Q9NY61	P06400
P06400	Q96FV9
P19793	Q9H0E9
P16157	Q02094
P25791	P29375
P17542	P25791
P05386	P05387
Q15438	Q13795
P16157	Q5VST9
P48436	Q13285
Q13285	P48552
P10909	P37173
O14795	Q16623
P26842	O15304
P62942	P36897
P26885	Q9Y6D6
P10644	Q92667
Q13402	P10644
P10644	O43572
O15273	Q8WZ42
O00213	Q12800
Q03701	P25208
Q99608	Q01094
Q13315	P00519
P04629	P00519
P52306	P01112
Q96JZ2	P07332
P52306	P01116
P12931	P29323
P36897	P37173
P21580	Q86VP1
P04637	Q9NZC7
P04637	Q9UNH5
P19438	Q13200
P35968	P98077
Q16832	P29353
P12830	O60716
P12830	Q75N03
Q01543	P15976
P40337	P21333
P40337	P61758
P40337	Q6IE81
P18887	P49916
P18887	Q96T60
P21506	Q13263
Q13402	Q9HBM0
P23025	Q13156
Q01831	P54725
P21333	Q8IY22
P21333	O75962
P21333	P41180
P51610	Q06546
P50052	Q9ULD2
Q96S59	P51784
P23246	Q15233
O15530	P41743
P51813	Q16825
Q16650	O14936
P41134	O14936
P62166	Q9NZN1
O15085	Q9ULL4
Q6ZN44	Q9Y5V3
P45973	O43463
Q05086	Q9UHD9
P51151	Q7Z6M1
P56545	O95600
Q9BZI7	Q9HAU5
Q99741	Q9Y5P8
O60220	Q92783
Q99963	Q96B97
Q9Y4J8	P11532
Q15642	P42768
Q9NQX3	O43307
O60828	P83876
O60828	Q9Y2W2
P15976	Q8WW38
P00451	O14832
O60880	Q13291
Q06787	P63279
P51114	Q06787
Q06787	Q9UHK0
P36507	P10398
P09884	P29558
Q92834	Q96KN7
Q92834	O43924
P28335	O75970
P08247	O43747
P21675	P17480
P10275	P49116
P10275	Q9Y6Q9
P10275	P78317
P10275	Q13772
P10275	Q9NQU5
Q96S59	P10275
P10275	Q96PM5
P10275	O75928
O14599	Q05086
Q9BX66	Q01101
Q13185	Q14739
P45973	Q14739
Q9UPT6	Q07866
Q07817	Q9NQS1
Q07817	Q12983
Q07817	Q16799
Q07817	Q9NQC3
Q07812	Q16548
O95477	Q13158
P98164	Q96QZ7
Q9H9E1	P98164
P98164	Q9P2M1
P98164	P98082
Q15543	P20226
Q05209	O43586
Q05209	P29353
Q05209	P49023
Q9NNX1	Q9UBB9
Q5VU43	Q08499
Q92793	P41235
Q92793	Q16236
Q92793	Q13569
Q92793	O43918
Q10567	O43747
Q96SB3	P42771
P52333	O95411
P52333	P42229
P63241	P46777
Q9Y3E5	Q08117
Q04724	Q96HZ4
Q04724	Q9Y261
P40189	Q04724
Q12929	O14640
Q9UMS0	P54198
Q16513	Q12923
P54253	P38432
Q9Y5Y5	P40855
Q15649	P41235
P41252	P41250
O43464	Q16539
Q9Y6W6	Q16539
Q96RK4	Q15154
P56945	Q13905
Q96S59	P31151
Q9BWF2	Q13045
P33240	P53999
Q05048	Q99728
O43543	O75771
Q02363	Q99081
P15884	Q02363
O00623	P50542
Q92968	P50542
P53365	P62330
P52298	Q09161
Q6P1K2	Q16236
Q9NZJ5	Q16236
P78352	P48050
