Gene_ID,EigenvectoreCentrality,PageRank
45485e-05
636,0.00037811997630539217,4.848736919690339e-05
55197,5.168606360485089e-05,1.7148275874500648e-05
6731,4.632907257682934e-05,3.0841322711086896e-05
5358,0.0009537517321501202,5.0177208923356735e-05
5743,2.5129067426533976e-06,1.57255747093979e-05
23277,0.03961208998613771,0.00019919585412487095
8683,0.0006320713759332078,0.00011648318478312065
1741,0.0007775511741488769,1.3169118114551968e-05
6520,0.00029103481271792233,2.256090957002616e-05
80323,1.693962569546579e-05,0.00038346984767410365
4326,0.01817849941852918,4.986060156929395e-05
4214,0.0005143781161978203,3.250729036152106e-05
6742,5.54544403906532e-05,2.5165877577110946e-05
386675,0.00010741184125907577,7.954691030606563e-05
441362,0.00131805335869942,1.558031047929069e-05
23243,1.636663884587248e-05,1.539218674097245e-05
54845,3.7466137896634858e-06,6.734674762826332e-05
51601,0.00045722805329779186,7.494663018349005e-05
400,7.522909255307735e-05,0.00016868358476585665
394,0.0022750719848764396,1.915728377280371e-05
673,1.2118314243263392e-05,1.402486564959147e-05
3237,0.0003790018873485633,1.85783537417355e-05
2580,0.00012821664797823867,1.7470838626914874e-05
80256,1.744913637450442e-05,2.6261880166587405e-05
200261,0.00016428147032659167,1.809725124404809e-05
137735,1.8716272907830366e-05,3.835958975881458e-05
360,1.8142194994538526e-06,4.414177941318065e-05
8399,1.5323533941971134e-05,0.0005232956395849764
26138,0.08057639314094671,2.223118539600648e-05
6189,8.572424951418311e-06,2.3105219241058572e-05
5949,6.133820261767442e-06,0.0005861804196916365
51435,0.10509786141375212,3.943229726036483e-05
1660,9.350665801649761e-05,3.8453214731029974e-05
283820,2.5349732510984013e-05,1.4588783500456656e-05
50964,5.258702198414693e-05,2.3076844985252264e-05
23348,3.220592053224537e-05,0.0001781783767510146
3805,0.00019519018098375257,1.4467450861328742e-05
10810,0.00014698881959840333,5.230929986635816e-05
7388,3.981822834531309e-06,4.8057934754022e-05
2689,1.1633737416797019e-06,3.101238653372541e-05
10682,0.0002383413549099527,2.994962388911021e-05
23741,0.0006641847633305044,0.000326224686253671
6362,6.25606347172573e-05,1.7363729454830127e-05
55616,0.024227994211086547,0.00011214237131280495
6612,5.372492654299252e-05,5.4425236741307135e-05
80790,0.0005698390508833092,1.4198869043811945e-05
