Gene_ID,BetweennessCentrality
358,0.0
10973,3.6633425865167146e-05
127281,3.798336586266374e-08
51267,4.862428111735188e-07
653226,2.3814620491328464e-06
54458,0.00020985233043420925
22977,0.0
6464,0.002950044295074357
1917,0.00016161353129329114
79180,3.718324846904836e-06
23036,0.0
6019,0.00030009752831874854
1558,2.599008170457713e-06
5493,0.00021436147645804244
221017,0.0
203259,9.691218342696243e-06
150472,1.393536397952881e-06
9104,0.0014205145934333592
55026,0.0
1297,1.3083724774205406e-07
6598,0.0007511959770113718
253827,3.4786056133432478e-06
6695,3.5051432290842223e-06
3362,0.00014582228381631408
6881,2.373361660691608e-06
50809,1.956694884263502e-06
51399,3.0097993932706013e-05
377,6.680829792953684e-05
9468,1.049663514795505e-05
63920,8.356739020500313e-07
150082,7.671148069761407e-05
2324,2.6215637608941647e-05
22859,5.276950880842431e-05
102,0.0002609865710587564
79842,2.69528754508089e-07
81494,0.0
22984,7.195219453296244e-05
2921,0.0009599550107971957
10148,1.0579651053096586e-05
54093,2.429268929896343e-05
2232,2.632663067215676e-06
3915,0.00012633541987254525
653,4.4093671834105086e-07
10190,5.191235789438838e-05
80895,0.00010479273625776791
55272,0.00239515520799368
91647,0.0
9513,0.0007851907840826314
135927,7.638801246506473e-05
6654,0.0004167849386589481
5585,5.1984607659781084e-05
3385,4.029371393187497e-06
6764,0.0005621194870556527
654364,6.2467368040181e-07
7134,1.3731073715339254e-05
6508,7.576439877083863e-06
6445,5.969336948053815e-05
9749,8.576662942099866e-07
1052,0.0
84141,0.0
22854,3.1027515049253712e-06
11222,0.00045820610031861193
3439,5.692347372233435e-06
328,1.8189169244451804e-06
9123,2.0908238165861202e-05
91392,0.0
29959,3.19703504953271e-05
129521,4.571407676365892e-05
26999,9.164238463780202e-05
255877,3.563563597677539e-05
2781,5.1198674307743e-05
84264,1.9949584777918764e-05
257397,0.0004809359458754963
55142,2.1889039286340376e-05
2002,9.705030107577735e-05
4357,0.002954145685633981
27030,3.5222400307530385e-05
3096,1.1362602197453308e-06
4660,4.504882004766604e-05
4284,0.0003618874545507087
79839,0.0
79012,0.0004870287798485467
6778,0.0
57189,6.83442746753821e-05
54536,3.744838235418975e-05
6652,6.910985536329825e-05
2314,0.0
55260,2.7040930389253387e-07
25979,5.409132451020334e-05
2888,7.251354018540155e-05
51343,4.049245590459043e-06
81617,0.00022869417547248877
338,0.00020082045215677103
79165,7.399163897620382e-05
1874,0.0003772971260903915
54850,1.3045923692763114e-06
23492,0.00011552132942109531
1828,2.4345505896860724e-05
388372,2.3321540973604482e-06
23170,8.139089364837089e-07
91875,0.0005050223515291858
8458,8.03020056678271e-05
6252,1.4477454989579097e-07
57190,3.2480109331379156e-05
5910,1.891875370889941e-05
57135,0.0
3263,2.845525208165677e-07
9695,0.0
84650,0.00015006002400960383
51182,0.0
339745,2.3790013350875242e-06
2946,5.190228926762607e-05
51164,0.0
429,2.8562646564682733e-05
84502,0.00025635752940506273
9857,5.884421894464569e-05
65109,1.303615666821483e-06
2168,1.549024281793749e-05
23219,1.5343926384673234e-06
54962,0.0
8038,0.0
3126,9.126297522611866e-05
55534,6.560711955323751e-07
54891,0.00024348880745824803
112950,0.0001592899884611307
27250,2.610927613983797e-06
55869,7.584516808629978e-05
84545,3.8761459605279436e-07
55809,1.705933911520265e-06
6494,5.824560384765482e-07
3822,0.0018047719933821035
387,0.0001822156500218908
93145,0.000287104140786765
3117,8.271460624044183e-05
51251,0.0
84306,0.0
9620,0.0
339201,0.0
80017,2.761819063794043e-05
124790,5.8789693737259474e-05
10053,0.0005028688983723475
64145,2.975650126094893e-05
636,4.4992357059839336e-05
94121,6.393027508659104e-05
3553,5.566903682452662e-05
7678,1.6096951463337777e-05
9502,3.698711099735998e-06
7766,0.00023400479495427548
9891,1.3872546608917482e-05
23569,3.716415063548791e-06
2235,2.038405925629389e-05
85359,0.0
55245,1.9293659345275006e-05
6620,0.0
55909,4.236714747275361e-06
25976,0.00016096849045422755
81027,0.0
388585,0.0009912208471384856
2822,8.829557250616946e-06
29903,3.531145499405984e-05
5423,0.0
7417,4.217322796534433e-05
5360,0.00011633673642349471
340706,1.8016281648347276e-06
27349,0.0
3772,5.186335670975753e-06
51706,0.0001507787330371968
4791,3.1599937049154747e-06
11030,0.0010782583886472198
130,0.0055050842363596015
58528,6.739906840657544e-06
43,1.2685511718690477e-05
4637,0.0006039370138904758
87171,0.00037205603598841695
9777,0.0
3952,0.0
4267,3.7648167253413724e-05
55038,5.3617046320597536e-05
84106,0.00038010752758576785
56259,4.529474977877124e-05
7204,0.00042963894914523374
54205,1.5797521997018829e-06
1382,2.9119939170601914e-05
23214,2.004160459082393e-07
5949,0.0
54968,4.447667736710503e-06
729873,0.00010064132701466252
4729,0.00018639146218808929
5688,6.549079100181881e-08
3589,6.1564344498061144e-06
3398,8.334798299937931e-05
989,0.00020015089401977706
479,0.0
8969,4.929915310488039e-06
1138,0.0
197131,0.00011566377599691125
54751,2.0832408833211893e-05
5130,0.00011749455004151816
9370,4.838497561759262e-07
55703,1.8886134635671204e-07
59338,1.2033284427350518e-06
255743,4.0556335633446894e-05
2319,5.916075989901714e-07
11056,0.00011022020785272597
9825,0.0
399670,2.1983489080920402e-05
9455,1.0042136259678752e-05
6905,5.5285033323969076e-05
222,0.0
443,2.591794099176116e-05
889,9.330381966412928e-06
6530,0.0002318857194179219
9972,3.298771004196374e-06
54836,9.531070615527914e-05
28998,6.1010252332869674e-05
140545,0.0
89777,1.4643872595310965e-07
84941,1.2816989206729402e-05
11227,9.00440160725504e-06
50808,8.771849603408359e-07
3948,4.596267316867208e-05
55083,9.705030107577735e-05
9744,2.157812040814862e-07
8354,0.0
147011,5.654445518006169e-05
8526,0.0
56147,0.0002645083738338816
9404,4.578502988287731e-07
1296,0.0
114769,5.139679608968127e-07
54915,5.875499144065035e-05
81631,4.881837816713765e-06
55361,5.913676805648401e-07
253714,0.0008316247785199183
5371,7.1172875140786875e-06
4891,0.0
51601,0.00024352240143637687
23371,8.35368064776874e-05
7164,4.1694564171996647e-07
79892,0.0
115703,0.00026726368116641077
2928,0.0002472707956579564
1740,0.0005468412643526713
10468,0.00010857252185899522
151112,3.272841249002526e-05
1022,9.36252294641444e-06
653361,6.959823254320175e-06
2901,0.0001282135004981004
144455,0.0
10239,1.2581610634949192e-07
79657,4.070920236315026e-05
3098,2.5185675254593e-06
474384,6.861940276595731e-06
50626,1.1346379659973749e-05
80318,1.4094699391394548e-05
112755,0.0
10238,3.98601943698529e-05
10961,1.1366024920833862e-07
