Gene_ID,Average Shortest Path to all Disease genes,Local Clustering Coefficient,DegreeCentrality,ClosenessCentrality,BetweennessCentrality,EigenvectoreCentrality,PageRank,ConnectivitySignificance,isArticulationPoint,Modularity
7482,4.573673870333988,,0.0021008403361344537,0.3098309970476788,1.063694327856453e-06,5.642554189143951e-05,8.66698774276207e-05,0.05247689370012997,1.0,0.0005631977768842262
7079,4.922724296005239,,0.00030012004801920766,0.2535865139464972,2.136249864227133e-05,7.153153394832855e-05,2.530330621422646e-05,0.7839924288418946,1.0,-0.0001833621410580071
9620,4.982973149967256,,0.001650660264105642,0.26320154824440145,2.1186820699264594e-05,6.308520075800813e-05,5.5370419604353433e-05,0.05247689370012997,1.0,0.0005631977768842272
130507,5.060248853962016,,0.0024759903961584628,0.3186229978484341,1.9377223679214147e-06,2.813545988906549e-06,7.366379604510267e-05,0.7839924288418946,1.0,-0.0001833621410580071
6878,4.050425671250818,,0.0003751500600240096,0.2764801062108451,2.702104225043269e-06,0.000567016283783719,2.072809475642592e-05,79.96486771783053,1.0,-0.0019514267830870523
4118,5.085789129011133,,0.0010504201680672268,0.311868214152003,1.6691633173369697e-07,2.9909018003617766e-05,3.512979143835072e-05,0.7082827927115789,1.0,1.311135371021085e-05
29057,4.618860510805501,,0.0030012004801920765,0.3119996254506297,0.0,0.000257740703814626,0.00012732485921740372,0.5441868518763193,1.0,-0.0004584053526450171
5519,3.981663392272429,,0.009828931572629051,0.32486715741237265,0.0003265631656662032,3.729144269210167e-05,3.3039957899755935e-05,10.166175371415598,1.0,0.0014015371707978938
7137,4.0969220694171575,0.12807881773399016,0.005177070828331332,0.3287941582790606,0.010537992299206609,1.0293802560856202e-06,1.521174473523944e-05,4.248901916711575,1.0,-0.00012889244710236327
155465,4.5893909626719065,,0.0014255702280912366,0.3070755477731954,0.00043674627770493534,0.0003562821972065944,1.8421038479115993e-05,0.5999269929195792,1.0,0.0001047924242392076
3112,4.973149967256059,3.0,0.0025510204081632647,0.3218390804597701,0.0002627269489945372,0.00026164870305709416,8.417283316518765e-05,0.246885969035216,1.0,0.00038010564585399284
