Q9H221
P45381
O15409
P00748
P05093
P01034
P09622
Q03692
Q9UGJ0
Q9Y6Q6
P15848
Q02962
O00300
P48436
P12111
P39060
P25942
Q92736
Q9H3D4
Q13286
P02649
Q9NZJ4
P19438
P06737
Q6ISB3
Q03519
Q92574
P82251
P00813
P35247
P32245
P51587
P33076
P15918
P28358
P32929
P82279
P05177
P08069
P01024
Q92887
P12821
P48788
Q9H251
Q96DT5
Q12840
P08F94
Q04721
P06681
P10071
O96017
P20711
P41235
P20908
P01031
Q96CV9
O15013
P11161
P19526
P42771
Q8N726
P57679
P01130
P13647
P37840
P07602
P02452
P58335
P24043
P10523
P07942
P30038
Q13753
P42224
Q96RQ3
P01137
Q9NZJ5
Q9GZV9
O95477
Q04671
Q05823
P10721
P35625
P35558
P08686
O76082
P51687
Q9Y5B0
P22607
P10636
Q9Y619
P06276
Q9Y6H6
P54803
Q9Y6J6
P11509
P21802
P04114
Q8NBK3
P11473
Q13326
Q15465
P23109
Q5S007
P38435
O60333
Q8WW38
O14896
O43520
P07911
Q06124
P60484
P02647
Q13253
P30793
P11245
P04637
P23025
O15269
P23771
P12259
P10912
P0C0L4
O95450
P55771
Q12805
P06213
P11498
P24557
P22105
O60260
P04180
P52952
Q6Q788
P07101
Q12882
O43395
P16278
P55265
P42898
P18507
Q01974
P51787
O76024
Q13936
P32927
P38484
Q13315
P38571
P43699
Q02413
P43251
P37173
P01138
P55895
P04062
P61457
P15151
P40879
Q99593
P10828
P02771
P31327
P43235
P20062
Q8NFJ9
P05091
Q9GZR5
O15119
P59533
Q12866
P02458
O43918
P14679
Q99697
Q92629
Q9BX63
P08519
Q9HC29
P43681
P37231
P31271
P23760
O43819
Q92851
P35555
P29460
P11171
P16157
P07203
O15528
Q15831
P12955
Q9UBC3
Q9H4A3
Q99497
P12107
Q03518
P01189
O00358
Q14654
P00441
P08603
Q99684
O75503
P50897
P98161
O43525
Q04446
P16144
O95292
O15305
P11230
O95677
Q9UJS0
P04150
O75306
O15533
P69891
P31639
P42357
Q9NQW8
P01730
P02753
P02766
Q9H267
P17735
P36551
P28360
P50542
P35916
Q8IZT6
P48509
Q99958
P09172
O75360
P23526
P02787
O14958
O15353
Q96A29
O15287
Q7Z2E3
P41159
Q86WG3
P17813
P35579
O60706
Q92466
O60779
Q96G97
O43405
P12694
Q99519
P04275
Q8TF17
Q9BX84
P12271
P08237
O43464
Q14032
P00450
Q30201
P28331
P80404
P00747
P69905
Q16678
O95452
P20933
O00255
Q13510
Q9BXJ7
P02655
P26678
P30613
Q9H161
P00367
Q5JVL4
Q9UKN7
P13646
P11686
P43403
P16435
Q9NPJ1
P41180
Q9UM01
Q96Q42
O75462
O95389
P22413
P12035
P20807
Q10469
P14770
Q07001
Q9UBY8
Q86YV9
O43772
P14222
P17661
P08100
O75197
P02671
P11277
P35498
P02679
Q9BXM0
P07339
P02538
P17050
Q9UDY2
O60762
P20929
Q00597
O95970
P14410
P31513
P12110
P09417
Q9UBX5
O00555
P13671
O95278
P02545
Q13825
P08779
Q9NTQ9
Q9UHK6
P06858
Q14055
P04629
P14598
P51170
P35670
P26440
P04264
Q9H222
P35499
P11217
O43586
P05062
P19099
P17302
O95140
P10746
P20594
P13929
Q9HCC0
P24530
Q99453
O60806
Q15526
Q9H1R3
P22888
P50053
Q16394
P04080
Q96J92
Q13563
Q8TA86
Q99574
P42702
Q9BXW9
Q8WWZ3
P00736
Q9GZX3
P50747
P11166
O75342
P05164
P42701
P16219
P15538
Q99972
Q9BXC9
P53634
P27169
O14656
Q9BZ23
P35523
Q03468
P11172
P01241
Q9UI46
Q9BXM7
Q9BQB6
O00116
Q7Z4S6
Q86UK0
Q8TB36
P48048
Q9H3H5
Q14117
P29033
P17900
Q9Y6C5
Q9Y672
P05089
P21964
Q9Y287
P43246
Q9H9S5
P53985
O00294
P21953
Q93063
O43612
P38117
P00750
P56693
Q9NP85
P19878
P13498
O95163
P13569
P12883
O75369
P02675
O60500
Q9P2D1
P56539
P22735
Q13950
P13645
Q01453
P54098
P69892
P16473
Q9NZN9
Q13562
O95409
P19367
Q9UBP0
P51570
P55809
P23141
Q12948
P26367
Q9NR50
Q13702
P48506
P19544
P54278
P05108
P03999
Q9UBX0
Q02094
Q9Y4U1
P23142
Q15835
P13535
Q16595
O43526
P17405
P54710
Q14050
Q09428
Q92911
Q16637
O60313
P15260
P07949
P05129
P16615
Q14315
P04196
Q9Y653
P49747
P51659
Q04844
Q9UJY1
P54132
O95467
P63092
P84996
Q5JWF2
Q07837
P02461
P04156
P09493
P07357
P48382
P50461
Q96KN7
Q9Y4I1
Q86UK5
P37023
Q99502
P07988
P48357
P21549
P10916
O95340
P07358
P04424
O75251
P49247
P25189
P18074
P41250
Q6QNY0
P49821
O15360
O43556
P23560
P07741
O15553
Q92781
Q04695
P14138
P02708
O95342
Q14376
P54840
P28330
Q96DA6
Q99456
Q14203
Q9UMD9
P06753
P40225
P11488
Q6VVX0
Q06710
Q13751
P21912
Q6P2Q9
Q969F9
P04259
P50336
P04075
Q9NZB8
P23786
Q15049
P11511
P40337
Q01955
P05067
Q16698
P20396
Q14739
P35527
P45379
P17301
P40692
P00568
Q9NSC2
P24752
P19429
P49748
Q15672
P00797
P31939
P27352
P09758
Q7Z412
O43511
Q01831
P48637
Q96RL7
Q58EX7
P53420
Q9Y6A1
P04181
P11712
Q13621
P51788
O15078
Q9UQ90
Q13144
Q96EV8
P09467
Q96L73
P48165
O60938
P01270
P37088
P08236
O43914
O75844
Q8IWY9
P22033
O43186
P13051
P11362
P30556
P23409
Q9UPZ3
P13224
Q96MS0
P00734
Q13402
P51798
P04066
P35573
Q9ULV5
P00995
Q9NRM1
P11310
O95343
Q9UJQ4
Q9NZW4
Q9NWZ3
P25054
O00217
P01229
P51649
Q9NYJ7
P05783
O75030
P32754
Q96RK4
P48728
P07225
P43080
P50443
P51159
O95954
P07099
Q03426
P05166
P07320
Q6KC79
P38935
Q02809
P10253
Q16143
P13942
O60931
P05155
P04792
Q15051
P03951
Q00266
P98160
Q93100
Q99643
P42704
Q13428
P30566
P05107
Q92793
Q13698
P35713
P07686
Q01718
P28715
P05160
Q93099
Q16610
O75364
P06865
Q9UJJ9
Q15392
Q9HB96
Q9UBM7
P05121
P14136
O15259
P20839
P00390
Q9NZV5
P28799
P02511
P01019
Q9UI10
Q16518
P15289
P33261
P03971
Q96EY8
P35557
P12109
P35913
P08697
Q92947
P49638
Q14232
O14521
O75923
P00742
P50993
Q13049
P00439
O75880
Q92685
O15120
P05997
P07477
P49675
P07902
P39019
O14832
Q9GZX7
P23945
O95255
P51168
Q16585
P23434
P34949
P35240
Q99707
P28288
P11168
Q9Y5I7
P00918
Q8IVH4
P15313
O15232
P37058
P11678
P07202
Q9BTY2
Q8TAM2
P04070
Q02763
P35453
O43175
P35914
P05546
P55017
P30968
Q92481
P22223
P02042
O14593
P02792
P15502
P21359
P49768
P43034
P19013
O43593
Q96NR8
Q9NZR4
Q9NRG9
Q92889
Q14896
P02549
Q02318
P10643
P35575
P00488
P61626
P56696
P16930
P51648
Q9GZU1
P60174
Q16586
O43181
O96007
O96033
P05186
O60683
O95461
P35475
P38398
Q9UNE0
P01185
P10635
P80365
Q14524
P21817
Q02643
Q13608
P08123
P78504
P13804
P07954
Q03393
P51688
P50416
P68871
O14813
Q16281
Q9HCJ1
P57082
P39905
P06396
Q9NPI8
O14983
P05165
Q3T906
P61916
Q8WZ42
P11182
P43026
O75712
Q9UHW9
P41181
Q9NQ38
Q9ULV1
Q8TDI8
P08514
P22830
P49770
Q14623
Q9UIF7
Q14191
P02533
P19440
Q9UQN3
Q92968
P15259
O60663
Q13873
Q14749
O15228
Q16671
Q9NZC9
P58012
P05019
P49257
P56715
Q02846
P49918
P78314
P42892
P28329
Q9Y215
P07359
Q9UBK8
O00628
O15118
P07951
P08709
P51801
P14416
Q92990
P08590
Q695T7
P12235
Q9BYJ1
P13866
Q15858
Q8IWZ6
Q9Y223
Q9UM47
P19447
P01009
Q8NFG4
P54802
Q09470
P49815
Q02388
Q9NQG7
Q13216
P49810
Q92902
P01008
P35556
Q9NW38
Q9Y3A5
Q9Y253
Q8IYD8
P34059
Q9NWW5
P29120
P13716
