Q9UBK2
P07332
Q96L92
P17677
Q8WVM0
Q15554
P26006
Q9Y3M2
Q07960
P35226
Q9H2X0
Q9Y5P4
P33151
P52799
P78406
O60583
O15111
P43304
P35221
Q9NSA3
Q9NQC3
Q16559
Q13488
P21453
Q9UJ41
O60934
Q99259
P63165
Q9Y2T1
P25391
P31277
Q96C10
Q14674
Q9NXB0
O14578
Q8WX92
O95487
P36952
P19235
Q9ULD6
Q9Y6R1
Q15389
Q92845
O95630
Q9UQF2
O75496
Q96SI9
O43847
Q99933
P56704
O43711
Q99581
O75533
P27694
Q15633
Q9UHI7
O95999
Q9BXP5
Q8N8U9
Q8WUW1
Q8WZ55
P07737
Q8TCI5
O95243
Q96FC9
Q5TKA1
Q86XI2
Q8IVW6
Q86U70
P45974
Q9UBS5
Q14185
P00491
P15056
Q96KR1
Q9BT40
P10645
O75419
P55786
P14859
P40426
P60022
O14764
P55268
Q15022
Q6FI81
P49327
Q8N5H7
P60709
Q92959
Q6ZNA4
Q02224
P29972
O43426
Q9NY64
E9PAV3
Q13765
O15350
Q13895
O00161
Q9Y4G8
Q92905
P19404
Q05940
A6NJT0
Q9Y5W8
Q969F8
Q13308
Q9BUZ4
Q96PY6
P35613
Q8TDX9
P13637
P04899
Q9H9S0
P22670
P42336
Q8TDX7
Q96DH6
P18858
P35318
O15431
P14867
Q13616
Q9H0H5
P41161
Q9UPN3
P41002
P50222
P58304
Q96PV0
P61221
P25106
O95471
P52948
Q8IZ21
Q16665
P15923
Q96QC0
Q9H9Z2
Q8TAE8
Q9H3G5
O43665
Q00613
O00716
O60264
Q8IZP0
Q03431
P63173
Q96BI3
O43278
Q14993
P00966
P43354
P48067
Q9UBB6
Q6NW40
Q9BR39
O95295
O00767
Q9UM11
O43763
P49841
P09471
O75190
Q96IY4
Q9UKV8
Q9UHI6
Q9Y5N5
P78310
Q14691
Q06945
P62995
Q9UHL9
Q9UHB7
Q9BQ95
Q16620
Q92886
O95067
Q13111
Q99075
Q08999
Q8NBQ7
O14965
Q9Y2G5
P31749
Q05086
O95947
Q9NZJ0
Q99608
O60885
Q9NPQ8
P55064
P20783
A6NMT0
O15169
Q14938
P19883
P05976
Q15645
Q86YT6
Q9H7L9
Q9NZ43
Q9Y366
O95352
Q2M1K9
Q14119
O75182
Q5SZK8
Q9UJW3
Q96IG2
Q9ULH0
Q92997
P25116
Q9H2K2
Q02447
Q13351
P12004
Q9UMS4
Q16739
O14744
Q00535
Q03188
P05556
Q9Y478
Q9BYG0
P26992
Q14807
Q14738
Q9NU63
O75112
P28340
P06744
Q96PU8
O14773
P20719
Q9BT09
Q96BK5
P16234
Q14626
O14893
Q9Y4R8
Q15459
P61803
Q9H8X2
O95935
Q15750
